Sigma,Batch_Size,SSIM
0.0,1,0.054885655641555786
0.0,4,0.0037927853409200907
0.0,8,-0.0009750400204211473
0.0,16,0.001215858501382172
0.01,1,1.5991763291367533e-07
0.01,4,-5.954551696163435e-08
0.01,8,1.0472390954419097e-08
0.01,16,3.442180229740188e-08
0.05,1,-4.447274104535381e-09
0.05,4,1.7531212037624755e-08
0.05,8,-1.8151679270772547e-08
0.05,16,-4.079198923090388e-10
0.1,1,4.536584718994874e-10
0.1,4,-7.888916186971073e-10
0.1,8,3.533590364757089e-10
0.1,16,2.2347647028179224e-18
