round,mse_mean,mse_std,ssim_mean,ssim_std,label_acc
1,1.2776247672263708e-06,6.656634383656439e-07,0.9998943495602648,4.002263008050867e-05,100.0
5,2.532696908019716e-06,1.5347267072907346e-06,0.9997860848903656,0.00010065119077971049,100.0
10,4.561077503240085e-06,1.0734025325222052e-06,0.9995994825501088,0.00015646960593879288,100.0
20,7.852340559111326e-06,4.991607105762257e-06,0.9993440040133216,0.0002927780440951219,100.0
50,33312.97774064841,74490.07510068205,0.7550803713692502,0.42236062581452716,80.0
