round,mse_median,mse_q25,mse_q75,mse_iqr,ssim_median,ssim_q25,ssim_q75,ssim_iqr,label_acc
1,7.475908319065638e-07,4.341808619301446e-07,1.5919171119094244e-06,1.1577362499792798e-06,0.9999345472036314,0.9998982089363839,0.9999864054612876,8.819652490366092e-05,100.0
5,2.0959887478966266e-06,1.3700462204724317e-06,5.0096059567295015e-06,3.6395597362570697e-06,0.9997716489409612,0.999205872047046,0.9999553409120268,0.0007494688649807291,100.0
10,4.716454895969946e-06,3.6184297869112925e-06,7.289388577191858e-06,3.670958790280565e-06,0.9996501271389732,0.9994686292099559,0.9998892421934231,0.00042061298346718345,100.0
20,5.746849637944251e-06,3.938037821171747e-06,1.377625767418067e-05,9.838219853008923e-06,0.9994608071471048,0.9990376394149686,0.9999062209582525,0.0008685815432839528,100.0
50,0.0042258109897375,0.00127580031403335,0.020323014818131847,0.0190472145040985,0.9270463148651508,0.7831851766367293,0.9772749424965914,0.19408976585986215,93.33333333333333
